Date,Member,Party,State / District,Title,Press Release
April 18,Kathy Castor,D,Fla.-14,"Rep. Castor, Sen. Cortez Masto Introduce Legislation to Lower Energy Costs, Improve Electricity Grid Reliability","April 17, 2024 “We now find ourselves at a critical inflection point: we can either leverage diplomacy to de-escalate tensions and push for peace, or we can stand idly by as this spirals into a broader regional conflict that will result in more loss of life…” “Make no mistake: history will remember this moment as a genocide.” Video (YouTube) WASHINGTON – Today, in a floor speech on the House floor, Congresswoman Ayanna Pressley (MA-07) called for urgent de-escalation in the Middle East and renewed her calls for a ceasefire in Gaza to prevent a broader regional war. The Congresswoman’s remarks come at a time of rising tensions in the Middle East, following the Iranian military’s attack on Israel as well as the Israeli military’s attack on the Iranian consulate in Syria. Since the horrific October 7th attack, Congresswoman Pressley has consistently and stridently called for a ceasefire to save lives, return all hostages, and surge humanitarian aid to Gaza. To date, nearly 34,000 Palestinians have been killed by Israeli airstrikes and over 100 hostages are still held captive by Hamas in Gaza. A transcript of the Congresswoman’s remarks is available below and the full video is available here. Transcript: In Floor Speech, Pressley Urges De-Escalation in Middle East, Renews Call for CeasefireU.S. House of RepresentativesApril 17, 2024 Mr. Speaker, I rise today to call attention to the massacre of the Palestinian people and the urgent need to de-escalate the Middle East. For months now, after the brutal attack on October 7th, the world has watched in horror as the crisis in Gaza has worsened daily. Today, less than two hundred days later, nearly 34,000 Palestinians have been killed by Israeli forces. Every day that goes by without a ceasefire is another day that Palestinians are subjected to violence, starvation, death, and destruction. And every day that we do not de-escalate the region, more lives are put at risk. Mr. Speaker, I condemn the Iranian military’s attack on Israel and I condemn the Israeli military’s attack on the Iranian consulate in Syria.  These escalations are dangerous. And we now find ourselves at a critical inflection point. We can either leverage diplomacy to de-escalate tensions and push for peace, or we can stand idly by as this spirals into a broader regional conflict that will result in more loss of life – Palestinian, Israeli, and American. We must de-escalate. And facilitating a lasting ceasefire in the region is the only path forward. Some of my colleagues seem all too willing to rush into an endless war with Iran and continue providing a blank check to the Israeli military. Right now, Palestinians in Gaza are being starved, bombed, tortured and executed. Generations of Palestinian families have been wiped out. Over 2 million are displaced from homes that have been razed to the ground. Make no mistake: history will remember this moment as a genocide.  We cannot bomb our way to peace, and the U.S. must stop using our tax dollars to arm the Israeli military with more bombs and bullets. The same bombs and bullets that have been used to kill over 14,000 children in Gaza. Shameful. It’s why we see momentum across the globe in support of a ceasefire.  Millions are marching peacefully in the streets.  A ceasefire is the mandate. A ceasefire to surge humanitarian aid. A ceasefire to bring all the hostages home. A ceasefire to save lives. We will never be silent in the face of injustice.  Ceasefire now. ­— Throughout this conflict, Rep. Pressley has been a vocal and consistent advocate of diplomacy, de-escalation, and saving lives. ### Washington DC Office 402 Cannon HOB
Washington, DC 20515 Phone (202) 225-5111
Fax (202) 225-9322 District Office 1295 River Street
Hyde Park, MA 02136 Phone (617) 850-0040
Fax (202) 225-9322"
April 18,David Scott,D,Ga.-13,Congressman David Scott Presses Governor Kemp to Take Immediate Action on Ghost Guns,"Fox News logo FIRST ON FOX: A Republican congressman has personally delivered a letter to Japan’s prime minister urging him to take action in order to address the issue of hundreds of American children being abducted and held in Japan by parents who took the children from the other parent without their consent. ""As our two countries continue to take steps to strengthen our democratic, economic and security ties, I would like to draw your attention to an open wound that threatens to derail many ongoing efforts,"" GOP Rep. Chris Smith wrote in a letter that he hand-delivered to Japanese Prime Minister Fumio Kishida. ""To date, more than 500 American children have been abducted to Japan by one of their respective parents and remain separated from their American parent. These abductions often occur against pre-existing court orders and, in some cases, with the passport assistance of the Japanese government."" Japanese Prime Minister Fumio Kishida, left, and Rep. Chris Smith. ( ) ""For the sake of the children who are suffering, and for the sake of U.S. and Japanese relations, I seek your public commitment to reunite these families,"" Smith wrote in the letter. ""I respectfully request that you work with the United States to create a process by which families can be reunited and heal."" Smith points out in his letter that the House of Representatives passed H. Res. 1326 in 2010 calling on Japan to ""address the urgent problem of abduction to and retention of United States citizen children"" and in 2014, the Sean and David Goldman International Child Abduction Prevention and Return Act was signed into law to ""prevent the terrible crime of international parental child abduction and empower the U.S. executive branch with tools to address this problem bilaterally with countries of particular concern."" ""Regrettably, the abduction of American children to your country remains an ongoing human rights crisis that cannot be sidelined or overlooked,"" Smith wrote. ""When a country such as Japan has failed to resolve 30 percent of abduction cases that have been pending more than 12 months, U.S. law requires the Secretary of State to take action."" Smith wrote that the Goldman Act has helped return U.S. citizen children from other countries but ""Japan has not assisted in any notable returns."" Japanese Prime Minister Fumio Kishida speaks during a news conference in the Rose Garden of the White House on April 10, 2024. (AP Photo/Alex Brandon, File) Smith wrote in his letter that the National Center for Missing and Exploited Children has found that abduction victims are often taught by their kidnapper that the left-behind parent ""doesn't want them"" or that the left-behind parent is ""dangerous,"" ""harmful,"" ""dead"" or ""unknown."" ""This trauma is not easily erased,"" Smith wrote. Unlike many other countries, Japan does not allow dual custody of children for their divorced parents. Only one parent can take the children, though the other parent can gain visitation rights. In some cases, the parent with custody blocks contact with the other one. There have been some high-profile cases of custody disputes brought up by foreign husbands divorced from Japanese women accusing them of child abduction. ""Your Excellency, it is my sincere hope that these Japanese American children will become a source of strength between our two countries rather than a reminder of an ongoing injustice and a barrier to a robust United States-Japan relationship,"" Smith concluded in his letter.  ""I respectfully request that you work with the United States to create a process by which families can be reunited and heal."" President Biden, left, and Japanese Prime Minister Fumio Kishida toast during an official State Dinner at the White House in Washington, D.C., April 10, 2024. (REUTERS/Evelyn Hockstein) In a statement to Fox News Digital, Japan's Ministry of Foreign Affairs said, ""Since the Convention on the Civil Aspects of International Child Abduction (the so-called ""Hague Convention"") entered into force in Japan in 2014, Japan has been taking appropriate measures to deal with cases covered by the Hague Convention through cooperation with each contracting state based on the Convention."" ""Regarding cross-border child abduction cases between Japan and the U.S., the relevant authorities in both countries cooperate to appropriately respond to such cases."" The statement continued, ""The Government of Japan has explained the position of the Government of Japan, including the above points, to relevant U.S. officials, including Congressman Smith."" Fox News Digital's Matthew Noyes and The Associated Press contributed to this report. Chris has three offices dedicated to constituent services. Check out the location nearest to you: 2373 Rayburn House Office Building 
Washington, D.C. 20515 33 Washington Street
P.O. Box 728
Toms River, NJ 08754
 *Please call for an appointment. 1715 Highway 35 North, Suite 303
Middletown, NJ 07748 *Please call for an appointment."
April 18,Ayanna Pressley,D,Mass.-7,"Pressley, Haiti Caucus Co-Chairs Urge Reauthorization of Haiti Trade Preference Programs","Subscribe to receive the latest news, insights, and updates directly to your inbox. TAMPA, FL – U.S. Rep. Kathy Castor (FL-14) released the following statement on the passing of former Florida Governor and U.S. Senator Bob Graham: “Bob Graham will always be “Mr. Florida”. He remained our beloved “Governor” even through his years in the U.S. Senate and beyond. Honest, smart, always with his notebook, informed by his “workdays”, devoted to Florida’s natural environment, a booster for public education and committed to high ethical standards - Graham was one of Florida’s greatest public servants. He united Floridians with his positive outlook and “can-do” spirit as the state moved into the modern era. “Sending love to Adele, Gwen and the Graham family.”"
April 18,Steven Horsford,D,Nev.-4,Boosting Minority Voices in Broadcast Ownership, Hours: 9:00AM-5:00PM Hours: 9:00AM-5:00PM Hours: 9:00AM-5:00PM
April 18,Kathy Castor,D,Fla.-14,U.S. Rep. Castor: Gov. DeSantis is Breaking the Law in Stripping Health Care Coverage from FL Kids,
April 18,Pramila Jayapal,D,Wash.-7,Jayapal Statement on H.Res.1143 Vote,"Arkansas is known as the Natural State for a reason. It's a world-class destination for all who love to bike, rock climb, hunt, fish, hike, and more. Outdoor recreation is more than just a pastime here; it's part of our heritage. As an Arkansan, my profound love for our lands and outdoor recreation has been foundational in my role as Chairman of the Natural Resources Committee.  As Chairman, I am privileged to champion forward-thinking legislation, such as the Expanding Public Lands Outdoor Recreation Experiences Act, also known as the EXPLORE Act. This bill is a product of months of collaboration with folks on both sides of the aisle, united in our goal to make outdoor recreation more accessible nationwide.  The EXPLORE Act will modernize visitor experiences at parks, increase accessibility for veterans and service members outdoors, create new opportunities and trails for outdoorsmen and women to recreate, and support local communities that depend on access to our public lands. The bill also includes key priorities for Arkansans, like reopening overnight camping at Albert Pike Recreation Area, protecting battlefields, and creating more parking and restroom facilities at some of our favorite sites.  I believe that our lands should be enjoyed by all, and that's why I'm proud that the U.S. House of Representatives passed the EXPLORE Act this week with overwhelming bipartisan support. The passage of this landmark legislation is a testament to the future of outdoor recreation and conservation in our nation. I look forward to working with my colleagues in the upper chamber to pass EXPLORE in the Senate and swiftly send it to the President’s desk.  "
April 18,Steve Womack,R,Ark.-3,Womack Cosponsored Measures Combatting Irans Unprovoked Attack on Israel Pass the House,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 18,Blaine Luetkemeyer,R,Mo.-3,Rep. Luetkemeyer Introduces Regulatory Transparency for Small Businesses Act,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 17,Kevin McCarthy,R,Calif.-20,Speaker Johnson: “We’ve Improved the Process and the Policy”,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 17,Steve Womack,R,Ark.-3,"Womack Joins Bipartisan, Bicameral Letter to the USPS Opposing Consolidations, Operational Changes Across the Country",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 16,Hank Johnson,D,Ga.-4,"Congressman Talks Arbitration, Consumer Rights in Keynote Speech",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 17,Ayanna Pressley,D,Mass.-7,"WATCH: Pressley Urges De-Escalation in Middle East, Renews Call for Ceasefire in Gaza",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 17,Christopher H. Smith,R,N.J.-4,"<span class =""kicker"">Fox News article:</span>'GOP lawmaker demands action from Japan PM on key issue impacting hundreds of US children abroad'",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 17,Kathy Castor,D,Fla.-14,U.S. Rep. Kathy Castor Statement on Passing of Former Gov. Bob Graham,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 16,Mike Kelly,R,Pa.-16,Kelly calls on U.S. Trade Ambassador Tai to help secure domestic Grain Oriented Electrical Steel production,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 16,Sanford D. Bishop Jr.,D,Ga.-2,Congressman Bishop Announces 2024 Congressional Art Competition Winners,"Ventura, CA – On Wednesday, April 3, Congresswoman Julia Brownley (D-CA) presented $963,000 to the County of Ventura to upgrade the region’s 15-year-old analog simulcast radio communications system. The funds will go toward establishing a state-of-the-art digital radio communication system which will utilize 700MHz frequencies. The upgraded radio system will be used by all public safety entities throughout the county to improve communications interoperability for public safety and first responder individuals as they respond to incidents and disasters. “The importance of ensuring our law enforcement and public safety entities in Ventura County have access to high-quality, reliable communications equipment cannot be overstated,” said Congresswoman Julia Brownley. “Not only will this state-of-the-art communication system facilitate better communication and coordination between agencies, but all of our cities and residents will benefit from streamlined services that will lower costs and redundancies. This is truly a win-win for everyone across the region. In advocating for this project, my motivation was to ensure that our renowned and sophisticated law enforcement, public safety professionals, and first responders have the renowned and sophisticated equipment they need to support their mission and their work.” Residents throughout Ventura County will benefit from the upgraded system as it will allow agencies at both the city and county level to access the latest communications technology and transform the current analog radio system to digital. As well, the new radio system includes substantial cost reductions to local agencies by preventing expensive and redundant investments in singular radio communications systems, providing centralized and more comprehensive support for the first responders radio system. “As a first responder, I can tell you every moment counts,” stated Ventura County Sheriff Jim Fryhoff. “These upgrades will improve communications interoperability across our first responder agencies and ultimately lead to faster and more comprehensive response to incidents in our community.” The regional system will broadcast from 19 towers across the county and communications from those on scene and enroute can be repeated. In the current state, radio traffic from cities can often not reach beyond their municipal borders, making it harder for them to coordinate mutual aid from outside agencies until they are within range. Additional advantages of the upgraded system include data and media transmission through cellular integration with other smart devices and connection with FirstNet for nationwide interoperability. “Our county has experienced a number of incidents that have demonstrated the importance of clear and timely communication across our public safety entities,” stated Ventura County Supervisor Janice Parvin, Vice Chair of the Board of Supervisors. “We are grateful for Congresswoman Brownley’s recognition of the importance of this project.” 
                            Issues: 118th Congress, Local Issues, Transportation and Infrastructure  2262 Rayburn House Office Building
Washington, DC 20515
Phone: (202) 225-5811
Fax: (202) 225-1100
Hours: Monday – Friday 9:00am-6:00pm Eastern 223 E. Thousand Oaks Blvd., Suite 220
Thousand Oaks, CA 91360
Phone: (805) 379-1779
Fax: (805) 379-1799
Hours: Monday – Friday 8:00am-5:00pm Pacific 201 East Fourth Street, Suite 209B
Oxnard, CA 93030
Phone: (805) 379-1779
Fax: (805) 379-1799
Hours: Please call to make an appointment."
April 12,Bruce Westerman,R,Ark.-4,Time to EXPLORE,"Rep. Chris Smith chairs a congressional hearing on Turkey’s shocking human rights abuses and aggressive transnational repression on Tuesday, April 16, 2024. Nadine Maenza, Enes Kanter Freedom, and Abdulhamit Bilici testify at Smith’s hearing.             Rep. Chris Smith (R-NJ), Co-Chair of the Tom Lantos Human Rights Commission, today chaired a congressional hearing exposing the shocking human rights abuses and aggressive transnational repression of the Government of Turkey under President Recep Tayyip Erdogan.             “Since 2016, the government of Turkey has, according to the US Country Reports on Human Rights Practices, ‘arrested or imprisoned more than 95,000 citizens, and closed more than 1,500 nongovernmental organizations…primarily for alleged ties to the movement of cleric Fethullah Gulen,’” said Smith.             “This Commission—and the US Congress—considers itself a friend of the Turkish people,” Smith continued. “And when the Government of Turkey commits grave human rights violations against its own people, this friendship means that we stand with the people,” said Smith.             “We call on the government of Turkey to change its course of human rights abuses,” said Smith, who cited a host of shocking abuses of human rights by the Turkish government, including arbitrary killings, suspicious deaths of persons in custody, forced disappearances, torture, arbitrary arrest and continued detention of tens of thousands of persons, and severe restrictions on freedom of expression and press freedom.             Among the experts testifying at Smith’s hearing was Enes Kanter Freedom, a human rights activist and former professional basketball star who was fired by the NBA for protesting the horrific human rights violations of the Chinese Communist Party.             In his testimony, Freedom shared personal encounters with Turkey’s transnational repression after he began speaking out against human rights abuses committed by President Erdogan.             “The Turkish government asked the US government to extradite me, canceled my passport, put my name on an Interpol list, imprisoned my father, and set a $500,000 bounty on my head,” said Freedom. “In 9 years, I received 12 arrest warrants and countless death threats.”             “They tried to attack me in front of a mosque in Boston, run social media campaigns against me, and pressured American universities, NGOs, and political groups to cancel their events with me,” said Freedom, who recounted two instances in 2017 in Indonesia and Romania where local officials tried to kidnap and arrest him to send him back to Turkey.             Other experts testifying at Smith’s hearing included Abdulhamit Bilici, the former Editor in Chief of Zaman who shared his own experience as a victim of Turkey’s transnational repression, and Nadine Maenza, the President of IRF Secretariat and former Chair of the US Commission on International Religious Freedom (USCIRF).             “I personally experienced both national and transnational repression as a journalist,” said Bilici. “I was the editor in chief of Zaman daily, the largest newspaper in Turkey. The Erdogan government brutally raided my newspaper in March 2016, five months before the coup attempt, and they shut down the paper after the coup attempt together with 200 critical media outlets.”             “When Erdogan regime took over the paper, the first thing they did was to fire me and to appoint a pro-government editor who converted the newspaper into a regime mouthpiece in 24 hours,” Bilici continued. “Facing serious threats, I had to leave the country for my safety.”             Maenza spoke to Turkey’s severe violations of religious freedom, including its persecution of Christians: “The government refuses to grant legal personality to many religious communities and continues to block the reopening of the Greek Orthodox Halki seminary. Many religious and ethnic minorities face harassment and discrimination, including Alevis, the largest religious minority in the country. Their houses of worship are not recognized by the government and are subjected to vandalism and attacks.”             “Turkey continues to criminalize blasphemy under article 216(3) of the Penal code,” Maenza added. “This is generally politically motivated against those accused of insulting or mocking Islam and to intimidate or retaliate against critics of President Erdogan.”             Smith, who meets regularly with people persecuted by foreign governments that target and pursue them inside the United States, urged his colleagues to support his Transnational Repression Policy Act (HR 3654) in response to the Biden Administration’s weak response to foreign governments’ attempts to harm, intimidate, silence, abduct, or spy on members of diaspora and exile communities within the US and other countries. ### Chris has three offices dedicated to constituent services. Check out the location nearest to you: 2373 Rayburn House Office Building 
Washington, D.C. 20515 33 Washington Street
P.O. Box 728
Toms River, NJ 08754
 *Please call for an appointment. 1715 Highway 35 North, Suite 303
Middletown, NJ 07748 *Please call for an appointment."
April 15,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,Marianas Wagner-Peyser passes House,"            Rep. Chris Smith (R-NJ), Chair of the House Global Human Rights Subcommittee, introduced legislation (HR 7891) this week aimed at ensuring that cobalt—a key natural resource used to power electric vehicles, solar panels and other “green” products—that is extracted or processed with the use of child or forced labor in the Democratic Republic of Congo (DRC) does not enter the United States market.             China processes 90 percent of the world’s cobalt, most of which comes from China-owned mines in the DRC.             “The Communist Chinese government—which has gained almost full dominance of every single step of the cobalt supply chain—profits from child and forced labor used to extract cobalt in the Democratic Republic of Congo and power our so-called ‘green economy,’” said Rep. Chris Smith, who also serves as Chair of the Congressional-Executive Commission on China and Co-Chair of the Tom Lantos Human Rights Commission.             “The United States must stop aiding and abetting Communist China’s egregious exploitation of children—some as young as 6 years old—and start becoming less dependent on Xi Jinping’s brutal dictatorship,” said Smith, who also authored the China Trade Relations Act (HR 638), which would require China to stop its horrific human rights violations if it wishes to enjoy normal trade relations with the United States.             Specifically, Smith’s bill—the Stop China’s Exploitation of Congolese Children and Adult Forced Labor through Cobalt Mining Act—would require the US Forced Labor Enforcement Task Force to lead a comprehensive investigation into the use of forced labor in the cobalt mining industry of the DRC and develop a strategy to ensure that cobalt mined by forced labor does not enter the US market.             The bill text was crafted with key input from the House Ways and Means Committee Chairman Rep. Jason Smith (R-MO), whose committee has jurisdiction over the legislation and is scheduled to mark it up on Wednesday, fast tracking it for a vote on the House Floor.             “America has long fought to end child and adult forced labor, yet the cobalt vital to the batteries in our technology is unethically mined with the use of forced labor under Chinese control,” said Rep. Jason Smith. “This legislation is a critical step to blocking material tainted by these inhumane labor practices from entering this country. I am thankful to Rep. Chris Smith for introducing this legislation to stop these dangerous practices.”             The legislation is drawn in part from insightful testimony provided at the congressional hearing chaired by Rep. Chris Smith in November that exposed the Chinese Communist Party’s egregious exploitation of Congolese children and forced laborers, who toil in hazardous conditions to extract cobalt from unsafe mines including artisanal mines in the DRC.             The hearing built on one that Rep. Chris Smith chaired last Congress that included testimony from Fr. Rigobert Minani Bihuzo, a Catholic priest from the DRC who has helped lead efforts to expose China’s horrific human rights abuses across the country. Fr. Bihuzo stated: “The number of artisanal and small-scale mining sites from the Ituri region to Lake Tanganyika is estimated to be 1,000 and the number of artisanal miners to be 200,000 people, among them thousands of children and pregnant women.”             Rep. Chris Smith said the artisanal mines “are often no more than narrow shafts dug into the ground, which is why children are recruited—and in many cases forced—to descend into them, using only their hands or rudimentary tools without any protective equipment, to extract cobalt and other minerals.”             “The biggest beneficiaries of this cobalt continue to remain silent and refuse to face this uncomfortable truth: from dirt to battery, from cobalt to cars, the entire system is fueled by violence, cruelty, and corruption,” Rep. Chris Smith said. ### Chris has three offices dedicated to constituent services. Check out the location nearest to you: 2373 Rayburn House Office Building 
Washington, D.C. 20515 33 Washington Street
P.O. Box 728
Toms River, NJ 08754
 *Please call for an appointment. 1715 Highway 35 North, Suite 303
Middletown, NJ 07748 *Please call for an appointment."
April 15,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,Republicans attack our energy grants,"The U.S. Department of Health and Human Services (HHS) has awarded a grant of $1,266,794 to Solutions That Empower People (STEP), Inc for Head Start projects. U.S. Congressman Morgan Griffith (R-VA) issued the following statement:   “STEP sponsors important child development services for families and children of Bedford, Franklin, Henry and Patrick Counties, and the City of Martinsville.”   “This $1,266,794 grant from HHS will aid STEP in administering their Head Start projects.”   ### Enter your email address to get the latest updates straight to your inbox. Use the form below to sign up for my newsletter and get the latest news and updates directly to your inbox."
April 15,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,Protecting Marianas fish and wildlife,"The U.S. Department of Health and Human Services (HHS) has awarded a grant of $1,044,168 to the Scott County Public School Head Start program. U.S. Congressman Morgan Griffith (R-VA) released the following statement:   “Scott County Public School Head Start is an important advocate for early education programs.”   “This $1,044,168 grant from HHS will cover essential child development services for families and children of Scott County.”   ### Enter your email address to get the latest updates straight to your inbox. Use the form below to sign up for my newsletter and get the latest news and updates directly to your inbox."
April 15,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,App Challenge Winners showcase in DC,https://iqconnect.house.gov/iqextranet/view_newsletter.aspx?id=105751&c=AZ05AB
April 15,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,Focusing on human rights,"For Immediate Release April 13, 2024 Contact: Taylor Haulsee     WASHINGTON — Speaker Mike Johnson released the following statement in response to Iran’s attack on Israel.   “As Israel faces this vicious attack from Iran, America must show our full resolve to stand with our critical ally. The world must be assured: Israel is not alone.   “I will continue to engage with the White House to insist upon a proper response. The Biden Administration’s undermining of Israel and appeasement of Iran have contributed to these terrible developments.”   ### 
							H-232, The Capitol
							Washington, D.C. 20515
							202-225-4000
						 ©2024 U.S. House of Representatives. All Rights Reserved. Privacy Policy"
April 15,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,Talking disabilities,"For Immediate Release April 14, 2024 Contact: Taylor Haulsee     WASHINGTON — Today, Speaker Johnson joined Fox News’ Sunday Morning Futures to discuss Iran’s attack on Israel, supplemental national security legislation, securing the border, preventing non-citizens from voting, and FISA. Below are key excerpts from the interview.  Click here to watch the full interview   On support for Israel:   Well, we’ve understood the urgency of this from the very beginning. I mean, a few days after I became speaker way back in October, we passed our Israel support package. It’s been sitting on Chuck Schumer’s desk ever since because we included a pay for as you remember. What a concept, we took from the IRS expansion slush fund to pay for the Israel priority. We tried it again, just about a month and a half ago, a clean Israel, that many Democrats 166, as I remember in the House, voted against.Why? Because President Joe Biden said that he would veto that. So, the House Republicans and the Republican Party understand the necessity of standing with Israel. We’re going to try again this week, and the details of that package are being put together. Right now, we’re looking at the options and all these supplemental issues.   … I do think that we showed resolve last night thankfully, many of us were concerned about that to stand with our ally Israel. It’s critically important to do that. We took down most of those drones and missiles, as you noted, and our other allies stepped up as well. What’s important right now is that we stand with Israel. We should not be dictating to them what their policy is; we certainly shouldn’t be doing what Chuck Schumer did, trying to suggest they should have new elections at this critical time. They’re fighting for their very existence, and it’s never been more important for us to be there with them. And we’re resolved to do that. I hope that continues.   On supplemental legislation:   I had a great visit with [Trump] at Mar-a-Lago on Friday, and he and I are 100% united on these big agenda items. And when you talk about aid to Ukraine, he’s introduced the loan lease concept, which is a really important one, I think has a lot of consensus as well as these other ideas – the REPO Act, which we’ve discussed, which is seizing the the assets of corrupt Russian oligarchs to help pay for this resistance. I think these are ideas that I think can get consensus, and that’s what we’ve been working through. We’ll send our package, we’ll put something together and send it to the Senate and get these obligations completed.   On securing the border:   What Marjorie fails to notice is that we have been fighting on the border. We fight on it every day. We passed our comprehensive border security package HR 2, at the very beginning of this Congress. It has been sitting on Chuck Schumer’s desk. We pass these acts out of the House, and they get stopped in the Senate. See this the open-border Democrats control the Senate and the White House, obviously. So we’ve not been able to have a lawmaking exercise to meet that critical objective, but we’re fighting every day. That’s why we’ve been demanding that President Biden use his executive authority to seal that border. President Trump reiterated that demand at our press conference together on Friday. We need the White House to step up.   On preventing non-citizens from voting:   Well, listen, some [democrats] have admitted to us even on record in Judiciary Committee hearings that they want illegals to vote, they’ve allowed it in some municipal elections. What Congress has control over is federal elections. We have to do every single thing we can to secure their elections are free and fair. And one thing we need to do and this is what we’re about to the House Republicans are about to enter legislation in the record that will ensure that no illegal can vote in a federal election. You have to prove you’re a citizen, instead of as the law currently states, just checking a box to say it.   On FISA:   Yeah, President [Trump] and I agree on the necessity of the uses of FISA. Remember that’s how we killed terrorists. That’s how we stopped her as plots and on US soil. That’s why we haven’t had had another 911 since that terrible tragedy. President Trump used it and he reauthorized it in 2018 for six years. And that’s why it’s up again. What we did was we changed the bill to fit his requirements and ours and that is that it would expire now, two years from now in the middle of his next administration. So he’s the one that gets to determine what’s working well, it’s a critical tool to stop terrorism. That the whole point of the law is that we surveil foreign persons foreign terrorist, but the reason the warrant requirement is not helpful. And the reason that people that we love and respect like Mike Pompeo and John Ratcliffe and, and Robert O’Brien and Devin Nunez, who’ve been in the intelligence community and are our guys, are conservatives who came off Judiciary Committee, a couple of them. They said you can’t put the warrant on this. Here’s what happens quick scenarios. This is important for people to understand, Maria.   If we’re surveilling a terrorist in the Middle East, and the terrorist sends an email to a guy named John Smith in any town USA, and the email says the components will be delivered to your house this afternoon for further assembly and delivery to the high school stadium during the game. I think every American would want the analyst who saw that email from that foreign terrorist to do a query of the other communications between those two persons. That is not unlawful and that must continue. If that analysts had to get a warrant before that, it would add a huge time delay; the courts are not set up to be able to to handle all that volume. And Americans may die. We want to look at those emails and find out my goodness, which high school stadium? What time? And is this a bomb? And what are the components? We have to continue that to save American lives. That’s what’s at stake. This is not this is not searches on American citizens. If they were going to search John Smith, they would have to go get a warrant to do anything else. But this is lawfully collected data under Section 702. And it must continue.   ### 

Tags: 
 Tweet
 Share

 
							H-232, The Capitol
							Washington, D.C. 20515
							202-225-4000
						 ©2024 U.S. House of Representatives. All Rights Reserved. Privacy Policy"
April 15,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,Legal Services stops by,"April 15, 2024 For Immediate Release Contact: Taylor Haulsee   House Impeachment Managers will deliver the articles to the Senate Tuesday afternoon   WASHINGTON — Today, Speaker Johnson signed the articles of impeachment for Department of Homeland Security Secretary Alejandro Mayorkas and renewed calls for Senate Majority Leader Schumer to fulfill his constitutional obligation and hold a public trial.    “The catastrophe at the southern border is the number one issue for the American people,” said Speaker Johnson. “We must hold those who engineered this crisis to full account. While it will force him to grapple with the crisis his party and the President have created, Senator Schumer must hold a public trial on Secretary Mayorkas’ impeachment. Senator Schumer is the only impediment to delivering accountability for the American people. Pursuant to the Constitution, the House demands a trial.”   Background:         ### 
							H-232, The Capitol
							Washington, D.C. 20515
							202-225-4000
						 ©2024 U.S. House of Representatives. All Rights Reserved. Privacy Policy"
